Clone Name,Accession,Donor Collection,Donor Name,NA Code
NA 807,RUQ 1752,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7107
PA 4 [PER],RUQ 1058,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7323
PA 7 [PER],RUQ 113,"Malaysian Cocoa Board (MCB), Malaysia",,7325
PA 13 [PER],RUQ 1575,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7327
PA 30 [PER],RUQ 1635,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7345
PA 39 [PER],RUQ 1567,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7352
PA 56 [PER],RUQ 32,RBG Kew,,7364
PA 67 [PER],RUQ 590,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7371
PA 70 [PER],RUQ 33,RBG Kew,,7373
PA 71 [PER],RUQ 1564,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7374
PA 107 [PER],RUQ 1728,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7386
PA 120 [PER],RUQ 852,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,7394
PA 121 [PER],RUQ 1059,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7395
PA 124 [PER],RUQ 1576,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7398
PA 126 [PER],RUQ 1721,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7400
PA 136 [PER],RUQ 1131,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7406
PA 137 [PER],RUQ 36,RBG Kew,,7407
PA 137 [PER],RUQ 1081,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7407
PA 150 [PER],RUQ 1731,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7415
PA 169 [PER],RUQ 1479,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,7425
PA 175 [PER],RUQ 37,RBG Kew,,7429
PA 195 [PER],RUQ 1642,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7442
PA 279 [PER],RUQ 1119,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7460
PA 303 [PER],RUQ 1372,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7471
PBC 123,RUQ 1499,"Malaysian Cocoa Board (MCB), Malaysia",,7492
PLAYA ALTA 2 [VEN],RUQ 232,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7703
PMCT 93,RUQ 1249,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,12374
PNG 10,RUQ 1314,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30673
PNG 110,RUQ 1288,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30610
PNG 139,RUQ 1355,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30612
PNG 153,RUQ 1289,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30613
PNG 155,RUQ 1290,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30614
PNG 197,RUQ 1291,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30615
PNG 210,RUQ 1292,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30616
PNG 215,RUQ 1293,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30617
PNG 218,RUQ 1294,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30618
PNG 224,RUQ 1312,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30619
PNG 296,RUQ 1299,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30620
PNG 336,RUQ 1321,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30621
PNG 340,RUQ 1304,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30622
PNG 360,RUQ 1358,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30623
PNG 386,RUQ 1306,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30624
PNG 398,RUQ 1307,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30625
PNG 414,RUQ 1308,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,30626
POR 3 [TTO],RUQ 1062,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,11842
POUND 7 /B,RUQ 24,RBG Kew,P 7 B,7624
POUND 12 /A,RUQ 1458,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7639
POUND 16 /B,RUQ 804,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",P 16 B,7650
POUND 18,RUQ 874,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",P 18,7652
RB 33 /3 [BRA],RUQ 40,RBG Kew,,7733
RB 46 [BRA],RUQ 134,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,7746
RIM 39 [MEX],RUQ 487,"Barbados Quarantine Station, Barbados",,7777
