Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes,Refcode,Dry weight,Colour,Colour purple,Shape,Size,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Total wet weight,Total dry weight,Colour grey,Number (max),Accession
LIMON COCHA 2,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
LIMON COCHA 3,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
LIMON COCHA 4,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
MACAS 1,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
MACAS 2,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
MACAS 3,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
MIRANDA 1,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
MIRANDA 2,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
MIRANDA 3,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
MIRANDA 4,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
MOA 4,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,medium,,,,,,,,,
MOTOLO 1,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
MOTOLO 2,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
MOTOLO 3,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
MOTOLO 4,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
NAPO 1 [DZ],,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
NAPO 2 [DZ],,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
NUEVO ROCAFUERT 1,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
SAN RAFAEL 1,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
SILECIA 9 [ECU],,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
SUCUA 1,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
SUCUA 2,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
SUCUA 3,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
TENA 1,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
TENA 2,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
VILLA HILDA 1,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
C 23 [TAF],,,,,48.0,,,,,,,,KKO93A,,-,,-,-,,,,,,,,,
C 26 [TAF],,,,,-,,,,,,,,KKO93A,,-,,-,medium,,,,,,,,,
GS 36,,,,,41.0,,,,,,,,KKO93A,,-,,-,-,,,,,,,,,
ICS 1,,,,,-,,,,,,,,KKO93A,,light purple,,cylindrical,medium,,,,,,,,,
ICS 100,,,,,41.0,,,,,,,,KKO93A,,light purple,,cylindrical,medium,,,,,,,,,
ICS 40,,,,,44.0,,,,,,,,KKO93A,,-,,-,large,,,,,,,,,
ICS 43,,,,,-,,,,,,,,KKO93A,,-,,-,large,,,,,,,,,
ICS 6,,,,,45.0,,,,,,,,KKO93A,,light purple,,oval,large,,,,,,,,,
ICS 89,,,,,-,,,,,,,,KKO93A,,dark purple,,flat,small,,,,,,,,,
IFC 1 [CIV],,,,,47.0,,,,,,,,KKO93A,,dark purple,,oval,medium,,,,,,,,,
IFC 5 [CIV],,,,,41.0,,,,,,,,KKO93A,,dark purple,,oval,medium,,,,,,,,,
IMC 60,,,,,54.0,,,,,,,,KKO93A,,dark purple,,oval,small,,,,,,,,,
IMC 67,,,,,55.0,,,,,,,,KKO93A,,dark purple,,oval,small,,,,,,,,,
NA 32,,,,,57.0,,,,,,,,KKO93A,,dark purple,,oval,small,,,,,,,,,
NA 33,,,,,55.0,,,,,,,,KKO93A,,dark purple,,-,-,,,,,,,,,
NA 34,,,,,-,,,,,,,,KKO93A,,dark purple,,-,-,,,,,,,,,
P 4 /9-J11450 [POS],,,,,-,,,,,,,,KKO93A,,dark purple,,-,medium,,,,,,,,,
PA 150 [PER],,,,,-,,,,,,,,KKO93A,,dark purple,,-,-,,,,,,,,,
PA 35 [PER],,,,,53.0,,,,,,,,KKO93A,,dark purple,,-,-,,,,,,,,,
PA 56 [PER],,,,,-,,,,,,,,KKO93A,,dark purple,,-,-,,,,,,,,,
PA 7 [PER],,,,,54.0,,,,,,,,KKO93A,,dark purple,,-,small,,,,,,,,,
POUND 1,,,,,-,,,,,,,,KKO93A,,dark purple,,-,-,,,,,,,,,
S 72 /J-11-4-49 [TAF],,,,,-,,,,,,,,KKO93A,,dark purple,,-,medium,,,,,,,,,
S 84 /E-10-4-90 [TAF],,,,,45.0,,,,,,,,KKO93A,,dark purple,,-,medium,,,,,,,,,
