Clone name,Colour,Refcode,Notes,Info
B 97 Ex 1 /(a)-4 [BLZ],moderate anthocyanin,BEKAD1,,
B 97 Ex 4 [BLZ],moderate anthocyanin,BEKAD1,,
B 97 Ex 4(a) /1 [BLZ],slight anthocyanin,BEKAD1,,
B 97 Ex 4(a) /2 [BLZ],slight anthocyanin,BEKAD1,,
B 97 Ex 4 /B-1 [BLZ],slight anthocyanin,BEKAD1,,
B 97 Ex 4 /B-3 [BLZ],anthocyanin absent,BEKAD1,,
B 97 Ex 4 /B-5 [BLZ],moderate anthocyanin,BEKAD1,,
B 97 ST 1 /5 [BLZ],slight anthocyanin,BEKAD1,,
BC 3 /1,slight anthocyanin,BEKAD1,,
BC 3 /3,intense anthocyanin,BEKAD1,,
BC 3 /5,intense anthocyanin,BEKAD1,,
BC 8 /2,anthocyanin absent,BEKAD1,,
BE 10,moderate anthocyanin,BEKAD1,,
BE 2,anthocyanin absent,BEKAD1,,
Belize 1 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 11 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 12 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 13 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 14 [BLZ],intense anthocyanin,BEKAD1,,
Belize 15 [BLZ],intense anthocyanin,BEKAD1,,
Belize 16 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 17 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 18 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 19 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 2 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 20 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 22 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 25 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 26 [BLZ],slight anthocyanin,BEKAD1,,
Belize 28 [BLZ],slight anthocyanin,BEKAD1,,
Belize 29 [BLZ],intense anthocyanin,BEKAD1,,
Belize 3 [BLZ],intense anthocyanin,BEKAD1,,
Belize 31 [BLZ],slight anthocyanin,BEKAD1,,
Belize 32 [BLZ],anthocyanin absent,BEKAD1,,
Belize 33 [BLZ],slight anthocyanin,BEKAD1,,
Belize 35 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 36 [BLZ],slight anthocyanin,BEKAD1,,
Belize 4 [BLZ],intense anthocyanin,BEKAD1,,
Belize 5 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 6 [BLZ],intense anthocyanin,BEKAD1,,
Belize 7 [BLZ],moderate anthocyanin,BEKAD1,,
Belize 8 [BLZ],moderate anthocyanin,BEKAD1,,
BELIZE TWIN SEED,intense anthocyanin,BEKAD1,,
BH,moderate anthocyanin,BEKAD1,,
BOB 8 [CHA],slight anthocyanin,BEKAD1,,
C 15 /61 [TRI],moderate anthocyanin,BEKAD1,,
C 40 [TRI],intense anthocyanin,BEKAD1,,
C 96 [TRI],moderate anthocyanin,BEKAD1,,
C 97 [TRI],slight anthocyanin,BEKAD1,,
C 99 [TRI],intense anthocyanin,BEKAD1,,
CAO 5,moderate anthocyanin,BEKAD1,,
CAS 1,moderate anthocyanin,BEKAD1,,
CATONGO,anthocyanin absent,BEKAD1,,
CBO 177 [VEN],anthocyanin absent,BEKAD1,,
CC 10,intense anthocyanin,BEKAD1,,
CC 17,slight anthocyanin,BEKAD1,,
CC 34,moderate anthocyanin,BEKAD1,,
CC 37,intense anthocyanin,BEKAD1,,
CC 38,slight anthocyanin,BEKAD1,,
CC 39,intense anthocyanin,BEKAD1,,
CC 40,slight anthocyanin,BEKAD1,,
CC 41,intense anthocyanin,BEKAD1,,
CC 49,moderate anthocyanin,BEKAD1,,
CC 54,moderate anthocyanin,BEKAD1,,
CC 57,intense anthocyanin,BEKAD1,,
CC 71,intense anthocyanin,BEKAD1,,
CC 9,moderate anthocyanin,BEKAD1,,
CCN 51,moderate anthocyanin,BEKAD1,,
CERRO AZUL 10,anthocyanin absent,BEKAD1,,
CJ 1 /41 [ECU],slight anthocyanin,BEKAD1,,
CL 10 /10,slight anthocyanin,BEKAD1,,
CL 10 /11,intense anthocyanin,BEKAD1,,
CL 10 /12,slight anthocyanin,BEKAD1,,
CL 10 /14,slight anthocyanin,BEKAD1,,
CL 10 /15,slight anthocyanin,BEKAD1,,
CL 10 /21,moderate anthocyanin,BEKAD1,,
CL 10 /23,moderate anthocyanin,BEKAD1,,
CL 10 /25,slight anthocyanin,BEKAD1,,
CL 10 /26,intense anthocyanin,BEKAD1,,
CL 10 /27,slight anthocyanin,BEKAD1,,
CL 10 /29,slight anthocyanin,BEKAD1,,
CL 10 /3,slight anthocyanin,BEKAD1,,
CL 10 /32,slight anthocyanin,BEKAD1,,
CL 10 /33,moderate anthocyanin,BEKAD1,,
CL 10 /4,moderate anthocyanin,BEKAD1,,
CL 10 /5,moderate anthocyanin,BEKAD1,,
CL 10 /6,intense anthocyanin,BEKAD1,,
CL 10 /7,moderate anthocyanin,BEKAD1,,
CL 13 /12,slight anthocyanin,BEKAD1,,
CL 13 /13,slight anthocyanin,BEKAD1,,
CL 13 /17,slight anthocyanin,BEKAD1,,
CL 13 /2,moderate anthocyanin,BEKAD1,,
CL 13 /21,slight anthocyanin,BEKAD1,,
CL 13 /27,moderate anthocyanin,BEKAD1,,
CL 13 /34,intense anthocyanin,BEKAD1,,
CL 13 /35,slight anthocyanin,BEKAD1,,
CL 13 /36,moderate anthocyanin,BEKAD1,,
CL 13 /4,slight anthocyanin,BEKAD1,,
CL 13 /41,slight anthocyanin,BEKAD1,,
CL 13 /43,slight anthocyanin,BEKAD1,,
CL 13 /65,moderate anthocyanin,BEKAD1,,
CL 15 /194,moderate anthocyanin,BEKAD1,,
CL 15 /195,slight anthocyanin,BEKAD1,,
CL 15 /197,slight anthocyanin,BEKAD1,,
CL 19 /10,anthocyanin absent,BEKAD1,,
CL 19 /11,slight anthocyanin,BEKAD1,,
CL 19 /12,moderate anthocyanin,BEKAD1,,
CL 19 /17,moderate anthocyanin,BEKAD1,,
CL 19 /2,slight anthocyanin,BEKAD1,,
CL 19 /21,moderate anthocyanin,BEKAD1,,
CL 19 /22,moderate anthocyanin,BEKAD1,,
CL 19 /24,moderate anthocyanin,BEKAD1,,
CL 19 /27,slight anthocyanin,BEKAD1,,
CL 19 /31,slight anthocyanin,BEKAD1,,
CL 19 /33,intense anthocyanin,BEKAD1,,
CL 19 /34,moderate anthocyanin,BEKAD1,,
CL 19 /36,slight anthocyanin,BEKAD1,,
CL 19 /39,slight anthocyanin,BEKAD1,,
CL 19 /41,moderate anthocyanin,BEKAD1,,
CL 19 /42,slight anthocyanin,BEKAD1,,
CL 19 /44,slight anthocyanin,BEKAD1,,
CL 19 /46,moderate anthocyanin,BEKAD1,,
CL 19 /47,intense anthocyanin,BEKAD1,,
CL 19 /49,slight anthocyanin,BEKAD1,,
CL 19 /51,intense anthocyanin,BEKAD1,,
CL 19 /9,moderate anthocyanin,BEKAD1,,
CL 27 /105,slight anthocyanin,BEKAD1,,
CL 27 /109,slight anthocyanin,BEKAD1,,
CL 27 /111,moderate anthocyanin,BEKAD1,,
CL 27 /116,slight anthocyanin,BEKAD1,,
CL 27 /14,moderate anthocyanin,BEKAD1,,
CL 27 /16,moderate anthocyanin,BEKAD1,,
CL 27 /21,intense anthocyanin,BEKAD1,,
CL 27 /27,slight anthocyanin,BEKAD1,,
CL 27 /34,slight anthocyanin,BEKAD1,,
CL 27 /39,slight anthocyanin,BEKAD1,,
CL 27 /43,moderate anthocyanin,BEKAD1,,
CL 27 /46,slight anthocyanin,BEKAD1,,
CL 27 /49,moderate anthocyanin,BEKAD1,,
CL 27 /50,slight anthocyanin,BEKAD1,,
CL 27 /53,slight anthocyanin,BEKAD1,,
CL 27 /58,moderate anthocyanin,BEKAD1,,
CL 27 /61,moderate anthocyanin,BEKAD1,,
CL 27 /7,slight anthocyanin,BEKAD1,,
CL 27 /71,intense anthocyanin,BEKAD1,,
CL 27 /72,slight anthocyanin,BEKAD1,,
CL 27 /74,slight anthocyanin,BEKAD1,,
CL 27 /76,slight anthocyanin,BEKAD1,,
CL 27 /79,moderate anthocyanin,BEKAD1,,
CL 27 /86,slight anthocyanin,BEKAD1,,
CL 27 /95,slight anthocyanin,BEKAD1,,
CL 27 /96,slight anthocyanin,BEKAD1,,
CL 3 /7,intense anthocyanin,BEKAD1,,
CL 78 /2,moderate anthocyanin,BEKAD1,,
CL 78 /3,intense anthocyanin,BEKAD1,,
CL 78 /7,moderate anthocyanin,BEKAD1,,
CL 78 /9,intense anthocyanin,BEKAD1,,
CL 9 /12,slight anthocyanin,BEKAD1,,
CL 9 /13,anthocyanin absent,BEKAD1,,
CL 9 /16,intense anthocyanin,BEKAD1,,
CL 9 /19,slight anthocyanin,BEKAD1,,
