Clone name,Female parent,Male parent,Station,Country,Year,Status,Refcode,Region,Scale,Info,Producer,Parent
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,TSH 858
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,PA35
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,UF667
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,NA32
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,NA33
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,IMC67
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,NA32
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,NA33
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,PA35
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,UIT1
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,UIT2
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,SCA6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,South-east Sulawesi,,,PT Hasfarm Agro Niaga,IMC67
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,PA300
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,PA121
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,PA303
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,GC29
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,UF667
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,UF713
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,BLC4
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,BL621
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT London Sumatera,BL693
