Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
UF 168,RUQ 1677,6.36,0.13,1.47,53.21,4.46,5,314.0,2.3,136.6,LAH17A
UF 613,RUQ 1573,4.68,0.08,1.06,63.97,4.52,5,342.2,2.54,134.9,LAH17A
UF 667,RUQ 55,4.25,0.08,1.1,57.65,3.92,4,279.0,1.96,141.6,LAH17A
UF 676,RUQ 56,6.1,0.11,1.37,58.69,4.5,4,277.6,1.99,141.0,LAH17A
UNAP 2 [CHA],RUQ 1604,3.95,0.08,1.03,58.88,4.01,6,324.6,2.01,161.5,LAH17A
UPA 134,RUQ 1172,6.12,0.13,1.28,58.72,4.95,5,190.7,1.17,164.1,LAH17A
VB 547,RUQ 1035,4.34,0.08,1.01,65.99,4.53,2,186.0,0.99,192.3,LAH17A
VB 663,RUQ 1036,5.06,0.09,1.16,72.01,4.75,3,261.3,1.49,176.6,LAH17A
VB 681,RUQ 1037,3.15,0.04,0.71,78.22,4.49,6,252.6,1.65,153.2,LAH17A
WA 40 [DR],RUQ 1283,5.45,0.11,1.3,54.56,4.18,3,204.3,1.32,155.3,LAH17A
