Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
SPA 5 [COL],,BEKAD1,slight anthocyanin,anthocyanin absent,7.62,2.31,45.0,2.16
SPA 7 [COL],,BEKAD1,slight anthocyanin,slight anthocyanin,8.43,3.14,40.0,2.1
SPA 8 [COL],,BEKAD1,slight anthocyanin,slight anthocyanin,6.15,2.13,51.0,2.1
SPA 9 [COL],,BEKAD1,moderate anthocyanin,moderate anthocyanin,6.48,2.33,54.0,1.68
SPEC 137 /6,,BEKAD1,slight anthocyanin,slight anthocyanin,7.75,2.63,56.0,2.27
SPEC 138 /10,,BEKAD1,slight anthocyanin,slight anthocyanin,7.84,2.32,40.0,1.87
SPEC 138 /11,,BEKAD1,anthocyanin absent,slight anthocyanin,7.82,2.49,60.0,2.3
SPEC 138 /13,,BEKAD1,slight anthocyanin,slight anthocyanin,6.93,2.88,55.0,2.62
SPEC 138 /15,,BEKAD1,slight anthocyanin,slight anthocyanin,8.28,2.77,38.0,2.02
SPEC 138 /16,,BEKAD1,slight anthocyanin,anthocyanin absent,8.08,2.76,37.0,2.22
SPEC 138 /17,,BEKAD1,slight anthocyanin,slight anthocyanin,7.98,3.46,59.0,2.4
SPEC 138 /21,,BEKAD1,moderate anthocyanin,anthocyanin absent,7.61,2.56,48.0,2.4
SPEC 138 /3,,BEKAD1,moderate anthocyanin,slight anthocyanin,6.86,2.37,49.0,2.03
SPEC 138 /8,,BEKAD1,intense anthocyanin,slight anthocyanin,7.25,2.55,51.0,2.37
SPEC 160 /9,,BEKAD1,anthocyanin absent,slight anthocyanin,6.68,2.76,39.0,1.66
SPEC 161 /7,,BEKAD1,slight anthocyanin,slight anthocyanin,7.6,2.35,40.0,2.1
SPEC 18 /5,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.15,2.63,43.0,1.97
SPEC 18 /6,,BEKAD1,moderate anthocyanin,intense anthocyanin,6.69,2.22,44.0,1.97
SPEC 184 /15,,BEKAD1,intense anthocyanin,anthocyanin absent,8.94,2.33,40.0,2.6
SPEC 184 /2,,BEKAD1,slight anthocyanin,moderate anthocyanin,8.32,3.23,51.0,2.34
SPEC 185 /4,,BEKAD1,anthocyanin absent,anthocyanin absent,6.57,2.75,34.0,1.53
SPEC 189 /14,,BEKAD1,anthocyanin absent,anthocyanin absent,7.62,2.16,41.0,2.12
SPEC 189 /8,,BEKAD1,anthocyanin absent,anthocyanin absent,8.4,2.11,43.0,2.28
SPEC 194 /103,,BEKAD1,slight anthocyanin,slight anthocyanin,7.15,2.95,38.0,1.69
SPEC 194 /107,,BEKAD1,moderate anthocyanin,anthocyanin absent,7.38,1.96,48.0,2.15
SPEC 194 /109,,BEKAD1,anthocyanin absent,anthocyanin absent,7.38,3.1,38.0,2.03
SPEC 194 /15,,BEKAD1,moderate anthocyanin,anthocyanin absent,6.69,2.23,44.0,1.22
SPEC 194 /44,,BEKAD1,moderate anthocyanin,slight anthocyanin,6.62,2.72,43.0,2.1
SPEC 194 /48,,BEKAD1,slight anthocyanin,slight anthocyanin,7.61,2.78,45.0,2.14
SPEC 194 /62,,BEKAD1,anthocyanin absent,slight anthocyanin,7.7,2.63,36.0,1.92
SPEC 194 /75,,BEKAD1,slight anthocyanin,slight anthocyanin,7.15,2.38,47.0,2.03
SPEC 41 /6,,BEKAD1,intense anthocyanin,slight anthocyanin,7.69,2.05,47.0,2.13
SPEC 41 /6-17,,BEKAD1,intense anthocyanin,moderate anthocyanin,7.23,2.19,43.0,2.43
SPEC 41 /6-18,,BEKAD1,intense anthocyanin,intense anthocyanin,7.15,2.06,43.0,2.07
SPEC 41 /6-25,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.1,1.94,45.0,1.75
