Clone name,Pod index
JA 9 /16 [POU],26.3
JA 9 /17 [POU],25.2
JA 9 /20 [POU],29.6
JA 9 /29 [POU],29.9
JA 9 /34 [POU],28.6
JA 9 /37 [POU],29.5
JA 9 /4 [POU],20.5
JA 9 /9 [POU],26.8
LAFI 7,19.6
LCT EEN 57,18.9
LCT EEN 108 /S,29.8
LCT EEN 123,21.5
LCT EEN 162 /S-1010,25.9
LCT EEN 188,30.1
LCT EEN 189,32.2
LCT EEN 193,40.8
LCT EEN 202,21.7
LCT EEN 21 /S-4,31.3
LCT EEN 212 /S-4,25.5
LCT EEN 221,47.3
LCT EEN 23,22.6
LCT EEN 246,27.1
LCT EEN 250,19.6
LCT EEN 253,26.5
LCT EEN 261 /S-4,16.5
LCT EEN 29 /S-1,29.7
LCT EEN 295 /S-10,29.2
LCT EEN 31,36.3
LCT EEN 321 /S-1,31.6
LCT EEN 324 /S-2,25.3
LCT EEN 326,36.4
LCT EEN 327,25.8
LCT EEN 346,26.4
LCT EEN 37,43.0
LCT EEN 37 /F,27.0
LCT EEN 370,49.0
LCT EEN 372 /S-301,24.7
LCT EEN 409,38.1
LCT EEN 411,54.8
LCT EEN 46,45.9
LCT EEN 49,21.3
LCT EEN 6 /S-1,21.0
LCT EEN 60,25.1
LCT EEN 62 /S-4,30.7
LCT EEN 66,38.1
LCT EEN 68 /S-1,26.7
LCT EEN 68 /S-2,21.7
LCT EEN 73 /A,22.7
LCT EEN 81,24.5
LCT EEN 82,26.4
LCT EEN 83 /S-8,41.4
LCT EEN 85,24.7
LCT EEN 86,27.4
LCT EEN 90 /S-7,26.6
LH 1,28.6
LH 5,30.0
LP 1 /18 [POU],29.8
LP 1 /2 [POU],40.7
LP 1 /21 [POU],27.0
LP 1 /23 [POU],33.6
LP 1 /24 [POU],41.4
LP 1 /25 [POU],25.5
LP 1 /28 [POU],22.0
LP 1 /29 [POU],32.3
LP 1 /31 [POU],29.2
LP 1 /32 [POU],22.7
LP 1 /36 [POU],19.2
LP 1 /37 [POU],23.5
LP 1 /39 [POU],24.5
LP 1 /4 [POU],27.1
LP 1 /40 [POU],18.7
LP 1 /41 [POU],27.4
LP 1 /42 [POU],59.5
LP 1 /44 [POU],18.5
LP 1 /45 [POU],26.9
LP 1 /49 [POU],28.2
LP 1 /58 [POU],18.7
LP 1 /61 [POU],27.2
LP 1 /62 [POU],26.0
LP 1 /9 [POU],26.2
LP 2 /1 [POU],24.5
LP 2 /10 [POU],28.3
LP 2 /11 [POU],28.9
LP 2 /13 [POU],29.2
LP 2 /14 [POU],25.5
LP 2 /3 [POU],31.3
LP 2 /9 [POU],28.5
LP 3 /11 [POU],25.4
LP 3 /13 [POU],30.0
LP 3 /15 [POU],35.9
LP 3 /19 [POU],26.8
LP 3 /2 [POU],34.0
LP 3 /20 [POU],26.0
LP 3 /25 [POU],23.2
LP 3 /29 [POU],23.9
LP 3 /3 [POU],36.6
LP 3 /34 [POU],25.1
LP 3 /35 [POU],26.5
LP 3 /38 [POU],27.3
LP 3 /4 [POU],24.4
LP 3 /40 [POU],17.7
LP 3 /45 [POU],23.3
LP 3 /48 [POU],31.1
LP 3 /5 [POU],20.9
LP 4 /1 [POU],24.4
LP 4 /10 [POU],32.6
LP 4 /12 [POU],22.8
LP 4 /13 [POU],22.1
LP 4 /15 [POU],20.6
LP 4 /18 [POU],23.7
LP 4 /19 [POU],22.3
LP 4 /2 [POU],23.1
LP 4 /20 [POU],28.7
LP 4 /24 [POU],40.8
LP 4 /25 [POU],26.4
LP 4 /3 [POU],26.7
LP 4 /30 [POU],31.7
LP 4 /32 [POU],27.8
LP 4 /37 [POU],33.6
LP 4 /38 [POU],32.6
LP 4 /39 [POU],22.0
LP 4 /4 [POU],29.2
LP 4 /41 [POU],25.8
LP 4 /43 [POU],26.1
