SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
SPA5,SPA 5 [COL],genomic,SRR14743797 NCBI ENA,SRX11078325,SAMN19549233,"AGROSAVIA, Colombia"
SPA9,SPA 9 [COL],genomic,SRR14743796 NCBI ENA,SRX11078326,SAMN19549234,"AGROSAVIA, Colombia"
SUI100,SUI 100,genomic,SRR14743795 NCBI ENA,SRX11078327,SAMN19549235,"AGROSAVIA, Colombia"
SUI2,SUI 2,genomic,SRR14743794 NCBI ENA,SRX11078328,SAMN19549236,"AGROSAVIA, Colombia"
SUI39,SUI 39,genomic,SRR14743793 NCBI ENA,SRX11078329,SAMN19549237,"AGROSAVIA, Colombia"
SUI44,SUI 44,genomic,SRR14743792 NCBI ENA,SRX11078330,SAMN19549238,"AGROSAVIA, Colombia"
SUI61,SUI 61,genomic,SRR14743791 NCBI ENA,SRX11078331,SAMN19549239,"AGROSAVIA, Colombia"
SUI69,SUI 69,genomic,SRR14743790 NCBI ENA,SRX11078332,SAMN19549240,"AGROSAVIA, Colombia"
SUI72,SUI 72,genomic,SRR14743789 NCBI ENA,SRX11078333,SAMN19549241,"AGROSAVIA, Colombia"
SUI75,SUI 75,genomic,SRR14743787 NCBI ENA,SRX11078335,SAMN19549242,"AGROSAVIA, Colombia"
SUI83,SUI 83,genomic,SRR14743786 NCBI ENA,SRX11078336,SAMN19549243,"AGROSAVIA, Colombia"
SUI99,SUI 99,genomic,SRR14743785 NCBI ENA,SRX11078337,SAMN19549244,"AGROSAVIA, Colombia"
TCS01,TCS 1,genomic,SRR14743784 NCBI ENA,SRX11078338,SAMN19549245,"AGROSAVIA, Colombia"
TCS06,TCS 6,genomic,SRR14743783 NCBI ENA,SRX11078339,SAMN19549246,"AGROSAVIA, Colombia"
TCS13,TCS 13,genomic,SRR14743782 NCBI ENA,SRX11078340,SAMN19549247,"AGROSAVIA, Colombia"
TCS19,TCS 19,genomic,SRR14743781 NCBI ENA,SRX11078341,SAMN19549248,"AGROSAVIA, Colombia"
TCS22,TCS 22,genomic,SRR14743780 NCBI ENA,SRX11078342,SAMN19549249,"AGROSAVIA, Colombia"
TCS24,TCS 24,genomic,SRR14743779 NCBI ENA,SRX11078343,SAMN19549250,"AGROSAVIA, Colombia"
TCS25,TCS 25,genomic,SRR14743778 NCBI ENA,SRX11078344,SAMN19549251,"AGROSAVIA, Colombia"
TCS26,TCS 26,genomic,SRR14743775 NCBI ENA,SRX11078347,SAMN19549252,"AGROSAVIA, Colombia"
TCS29,TCS 29,genomic,SRR14743774 NCBI ENA,SRX11078348,SAMN19549253,"AGROSAVIA, Colombia"
TCS30,TCS 30,genomic,SRR14743773 NCBI ENA,SRX11078349,SAMN19549254,"AGROSAVIA, Colombia"
TCS31,TCS 31,genomic,SRR14743772 NCBI ENA,SRX11078350,SAMN19549255,"AGROSAVIA, Colombia"
TCS34,TCS 34,genomic,SRR14743771 NCBI ENA,SRX11078351,SAMN19549256,"AGROSAVIA, Colombia"
TCS35,TCS 35,genomic,SRR14743770 NCBI ENA,SRX11078352,SAMN19549257,"AGROSAVIA, Colombia"
TCS36,TCS 36,genomic,SRR14743769 NCBI ENA,SRX11078353,SAMN19549258,"AGROSAVIA, Colombia"
TCS37,TCS 37,genomic,SRR14743768 NCBI ENA,SRX11078354,SAMN19549259,"AGROSAVIA, Colombia"
TCS38,TCS 38,genomic,SRR14743767 NCBI ENA,SRX11078355,SAMN19549260,"AGROSAVIA, Colombia"
TCS39,TCS 39,genomic,SRR14743766 NCBI ENA,SRX11078356,SAMN19549261,"AGROSAVIA, Colombia"
TO5,TO 5,genomic,SRR14743764 NCBI ENA,SRX11078358,SAMN19549262,"AGROSAVIA, Colombia"
Trinidad and Tobago: Trinidad,Trinidad,genomic,SRR14743763 NCBI ENA,SRX11078359,SAMN19549263,"AGROSAVIA, Colombia"
TSA141,TSA 141,genomic,SRR14743762 NCBI ENA,SRX11078360,SAMN19549264,"AGROSAVIA, Colombia"
TSA644,TSA 644,genomic,SRR14743761 NCBI ENA,SRX11078361,SAMN19549265,"AGROSAVIA, Colombia"
TSH565,TSH 565,genomic,SRR14743760 NCBI ENA,SRX11078362,SAMN19549266,"AGROSAVIA, Colombia"
