Clone name,Colour
CRU 78,slight anthocyanin
CRU 8,slight anthocyanin
CRU 80,moderate anthocyanin
CRU 81,moderate anthocyanin
CRU 83,moderate anthocyanin
CRU 85,slight anthocyanin
CRU 86,slight anthocyanin
CRU 87,moderate anthocyanin
CRU 89,slight anthocyanin
CRU 90,slight anthocyanin
CRU 91,moderate anthocyanin
CRU 95,moderate anthocyanin
CRU 96,slight anthocyanin
CRU 97,slight anthocyanin
CRU 98,slight anthocyanin
CRU 99,moderate anthocyanin
CRU C11 /1,slight anthocyanin
CRU C11 /3,intense anthocyanin
CRU C12 /1,intense anthocyanin
CRU C12 /2,intense anthocyanin
CRU C12 /3,moderate anthocyanin
CRU C12 /4,intense anthocyanin
CRU C12 /5,moderate anthocyanin
CRU C12 /6,slight anthocyanin
CRU C12 /7,moderate anthocyanin
CRU C2 /1,moderate anthocyanin
CRU C3 /4,moderate anthocyanin
CRU C3 /5,moderate anthocyanin
CRU C4 /10,slight anthocyanin
CRU C4 /11,slight anthocyanin
CRU C4 /12,moderate anthocyanin
CRU C4 /13,moderate anthocyanin
CRU C4 /3,slight anthocyanin
CRU C4 /4,moderate anthocyanin
CRU C4 /5,anthocyanin absent
CRU C4 /6,moderate anthocyanin
CRU C4 /7,moderate anthocyanin
CRU C4 /9,slight anthocyanin
CRU C5 /2,intense anthocyanin
CRU C5 /3,moderate anthocyanin
CRU C5 /4,moderate anthocyanin
CRU C5 /5,slight anthocyanin
CRU C5 /5,moderate anthocyanin
CRU C5 /6,slight anthocyanin
CRU C5 /7,moderate anthocyanin
CRU C5 /8,intense anthocyanin
CRU C6 /1,slight anthocyanin
CRU C6 /13,moderate anthocyanin
CRU C6 /14,moderate anthocyanin
CRU C6 /16,moderate anthocyanin
CRU C6 /19,moderate anthocyanin
CRU C6 /20,moderate anthocyanin
CRU C6 /22,moderate anthocyanin
CRU C6 /23,intense anthocyanin
CRU C6 /3,moderate anthocyanin
CRU C6 /4,moderate anthocyanin
CRU C6 /5,moderate anthocyanin
CRU C6 /8,moderate anthocyanin
CRU C7 /1,moderate anthocyanin
CRU C7 /3,moderate anthocyanin
CRU C7 /4,intense anthocyanin
CRU C7 /5,intense anthocyanin
CRU C7 /6,slight anthocyanin
CRU C7 /7,moderate anthocyanin
CRU C7 /9,moderate anthocyanin
CRUZ 7 /11,moderate anthocyanin
CRUZ 7 /14,moderate anthocyanin
CRUZ 7 /8,slight anthocyanin
CRUZ 8 /9,anthocyanin absent
DE 33 /B,slight anthocyanin
DE 36 /A,moderate anthocyanin
DE 52 /B,slight anthocyanin
DE 53 /B,intense anthocyanin
DE 64 /A,moderate anthocyanin
DE 64 /B,moderate anthocyanin
DE 65 /A,anthocyanin absent
DE 73 /A,anthocyanin absent
DOM 1,intense anthocyanin
DOM 10,moderate anthocyanin
DOM 11,slight anthocyanin
DOM 13,moderate anthocyanin
DOM 14,intense anthocyanin
DOM 15,slight anthocyanin
DOM 16,intense anthocyanin
DOM 18,moderate anthocyanin
DOM 2,intense anthocyanin
DOM 20,intense anthocyanin
DOM 21,moderate anthocyanin
DOM 23,moderate anthocyanin
DOM 24,slight anthocyanin
DOM 25,moderate anthocyanin
DOM 27,slight anthocyanin
DOM 3,moderate anthocyanin
DOM 30,moderate anthocyanin
DOM 31,slight anthocyanin
DOM 33,intense anthocyanin
DOM 34,slight anthocyanin
DOM 35,moderate anthocyanin
DOM 4,moderate anthocyanin
DOM 5,intense anthocyanin
DOM 7,intense anthocyanin
DOM 8,slight anthocyanin
DOM 9,moderate anthocyanin
DOPOL 2 /1-4,intense anthocyanin
DOPOL 2 /1-5,slight anthocyanin
DOPOL 3 /2-5,moderate anthocyanin
DOPOL 3 /2-6,moderate anthocyanin
DOPOL 4 /4-7,moderate anthocyanin
DOPOL 6 /15-10,moderate anthocyanin
DOPOL 6 /15-5,slight anthocyanin
DOPOL 6 /15-9,slight anthocyanin
DOPOL 7 /2-3,moderate anthocyanin
DOS HERMANOS,intense anthocyanin
DOS HERMANOS 1,slight anthocyanin
DOS HERMANOS 2,slight anthocyanin
DR 1,slight anthocyanin
DR 2,slight anthocyanin
DR 38,moderate anthocyanin
E 34 [ECU],slight anthocyanin
E 41 [ECU],moderate anthocyanin
E 575 [ICT],slight anthocyanin
EBC 135,slight anthocyanin
EBC 148 /S-301,moderate anthocyanin
ECNR,anthocyanin absent
EEG 8,intense anthocyanin
EET 162 [ECU],slight anthocyanin
EET 183 [ECU],slight anthocyanin
EET 19 [ECU],slight anthocyanin
EET 272 [ECU],slight anthocyanin
EET 28 [ECU],anthocyanin absent
EET 338 [ECU],intense anthocyanin
EET 338 /3578 [ECU],intense anthocyanin
EET 338 /9577 [ECU],moderate anthocyanin
EET 397 [ECU],slight anthocyanin
EET 399 [ECU],anthocyanin absent
EET 400 [ECU],slight anthocyanin
EET 401 [ECU],slight anthocyanin
EET 48 [ECU],moderate anthocyanin
EET 58 [ECU],slight anthocyanin
EET 59 [ECU],slight anthocyanin
EET 95 [ECU],moderate anthocyanin
ELP 1 A,moderate anthocyanin
ELP 1 /S4,moderate anthocyanin
ELP 10 /S6,moderate anthocyanin
ELP 10 /T,moderate anthocyanin
ELP 11 /S1,moderate anthocyanin
ELP 11 /S3,moderate anthocyanin
ELP 13 /8,intense anthocyanin
ELP 16 /S3,moderate anthocyanin
ELP 16 /S7,moderate anthocyanin
ELP 18 /S12,intense anthocyanin
ELP 2 /S4,moderate anthocyanin
ELP 20 A,intense anthocyanin
ELP 20 /S3,moderate anthocyanin
ELP 21 /1,moderate anthocyanin
ELP 21 /10,moderate anthocyanin
ELP 21 /20,moderate anthocyanin
ELP 22 /S10,moderate anthocyanin
ELP 22 /S6,intense anthocyanin
ELP 26 /14,intense anthocyanin
ELP 26 /19,intense anthocyanin
ELP 26 /3,moderate anthocyanin
ELP 28 /S4,intense anthocyanin
ELP 28 /S6,moderate anthocyanin
ELP 30 /S5,intense anthocyanin
