Clone name,Basal constriction,Apex form,Rugosity,Ridge desc,Length,Breadth,Weight,Husk weight,Length breadth ratio
GU 327,moderate,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",180.0,90.0,530.0,350.0,2.00
GU 328,slight,acute,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",150.0,80.0,290.0,215.0,1.88
GU 329,slight,acute,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",115.0,75.0,200.0,150.0,1.53
GU 330,moderate,rounded,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,90.0,140.0,95.0,1.22
GU 331,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,255.0,185.0,1.50
GU 332,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",95.0,70.0,160.0,125.0,1.36
GU 333,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",95.0,80.0,190.0,150.0,1.19
GU 334,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,90.0,390.0,290.0,1.61
GU 335,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,90.0,400.0,280.0,1.61
GU 336,slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,80.0,360.0,295.0,2.00
GU 337,moderate,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,75.0,240.0,170.0,1.73
GU 338,slight,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",135.0,95.0,325.0,245.0,1.42
GU 339,moderate,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",105.0,75.0,210.0,160.0,1.40
GU 340,slight,acute,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,440.0,305.0,1.72
GU 341,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,420.0,280.0,1.67
GU 342,moderate,mammillate,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",190.0,95.0,460.0,335.0,2.00
GU 343,moderate,rounded,intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,85.0,350.0,250.0,1.76
GU 344,slight,-,very slight - slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",120.0,75.0,230.0,165.0,1.60
GU 345,moderate,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,90.0,435.0,310.0,1.78
GU 346,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,200.0,180.0,1.50
