Clone name,Pathogen,Reaction,Info,Part,Notes
SIAL 689,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
SIAL 698,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 70,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 84,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 910,Ceratosystis,susceptible,Based on mycelium growth.,Branch,Classed as Very Susceptible
SIAL 93,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 17,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 18,Ceratosystis,susceptible,Based on mycelium growth.,Branch,Classed as Very Susceptible
SIC 19,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 20,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 21,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 22,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 23,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
SIC 23,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Also classed as Very Susceptible based on perithecia production.
SIC 24,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 250,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
SIC 250,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
SIC 328,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 329,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 4,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 433,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 439,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 5,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 543,Ceratosystis,susceptible,Based on mycelium growth.,Branch,Classed as Very Susceptible
SIC 628,Ceratosystis,moderate resistance,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 644,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 662,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 680,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 747,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 765,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 801,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 802,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 806,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 812,Ceratosystis,moderate resistance,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 813,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
SIC 813,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
SIC 823,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 831,Ceratosystis,susceptible,Based on mycelium growth.,Branch,Classed as Very Susceptible
