Clone name,Ligule colour,Stamen colour,Sepal width,Sepal length,Ligule width,Ovule number,Style length
CL 78 /7,moderate anthocyanin,intense anthocyanin,-,7.33,2.8,37,2.1
CL 9 /11,slight anthocyanin,slight anthocyanin,-,7.89,2.99,41,2.62
CL 9 /12,slight anthocyanin,anthocyanin absent,-,8.12,2.61,39,2.21
CL 9 /13,anthocyanin absent,anthocyanin absent,-,7.86,2.4,41,3.01
CL 9 /16,anthocyanin absent,slight anthocyanin,-,9.01,2.91,43,1.97
CL 9 /19,anthocyanin absent,moderate anthocyanin,-,7.58,2.5,42,1.92
CL 9 /4,moderate anthocyanin,moderate anthocyanin,-,7.87,2.44,38,2.58
CL 9 /51,anthocyanin absent,slight anthocyanin,-,7.15,2.93,45,2.55
CL 9 /56,slight anthocyanin,slight anthocyanin,-,8.53,2.7,42,2.82
CL 9 /6,slight anthocyanin,slight anthocyanin,-,8.87,2.76,39,2.33
CL 9 /7,moderate anthocyanin,moderate anthocyanin,-,7.96,2.62,42,2.16
CL 91 /5,slight anthocyanin,moderate anthocyanin,-,7.5,2.82,48,2.44
CL 91 /6,slight anthocyanin,anthocyanin absent,-,8.11,2.87,42,1.88
CL 91 /7,slight anthocyanin,anthocyanin absent,-,7.93,2.36,44,2.25
CLEM /S-62-1,slight anthocyanin,slight anthocyanin,-,9.64,2.83,44,2.93
CLM 100,slight anthocyanin,anthocyanin absent,-,7.72,2.51,46,2.79
CLM 101,intense anthocyanin,moderate anthocyanin,-,9.33,3.03,34,2.17
CLM 107,slight anthocyanin,slight anthocyanin,-,8.91,2.34,44,2.11
