Clone name,Colour,Notes
UF 705,light brown,Translation of Methuen colour codes.
UF 707,brownish orange,Translation of Methuen colour codes.
UF 708,brown,Translation of Methuen colour codes.
UF 709,brown,Translation of Methuen colour codes.
UF 710,light brown,Translation of Methuen colour codes.
UF 711,reddish brown,Translation of Methuen colour codes.
UF 712,olive brown,Translation of Methuen colour codes.
UF 713,blond,Translation of Methuen colour codes.
UF 714,light brown,Translation of Methuen colour codes.
UF 715,reddish brown,Translation of Methuen colour codes.
UF 716,brownish orange,Translation of Methuen colour codes.
UF 717,olive brown,Translation of Methuen colour codes.
UF 93,dark brown,Translation of Methuen colour codes.
X VERDE,brownish orange,Translation of Methuen colour codes.
